loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
00:32.1,1,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821231,40.81012436,-73.96015707,79.59485,1.63,214.1015625,64,100,415040.0337,-0.163299561,0.052871704,-0.990264893,415040.0028,-0.179622759,0.069394521,-0.140728889,415040.0328,1.065633416,-0.165471997,-0.081443693,-0.178772256,-0.160049781,-0.236706123,0.074267127,-0.011941454,-0.020072021,XArbitraryCorrectedZVertical,0.006996654,-0.091735498,0.508702387,0.856012574,-0.164171904,0.081353687,-0.983071268,4.481793404,3.561215878,-25.77513504,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.1,2,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.0924,-0.199951172,0.073074341,-0.958709717,415040.0727,-0.166983396,0.069666164,-0.200547748,415040.0678,1.057385495,-0.172053502,-0.083880139,-0.111999676,-0.043445446,-0.202054784,-0.04785613,-0.026240919,-0.001962824,XArbitraryCorrectedZVertical,0.007231333,-0.095194823,0.505208401,0.857700487,-0.170603946,0.083781809,-0.98177129,4.343286991,3.710361958,-25.77780724,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.2,3,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.1509,-0.271331787,0.067459106,-0.904693604,415040.1077,-0.05548057,-0.390999985,0.153324309,415040.1377,1.062145951,-0.197576192,-0.08549619,-0.084828004,-0.17711401,0.118942924,-0.06286183,-0.028293682,0.082524024,XArbitraryCorrectedZVertical,0.013235867,-0.106503292,0.507163434,0.855141574,-0.19557628,0.085392073,-0.976963699,3.531905174,3.831215858,-25.8838501,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.2,4,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.2093,-0.175491333,0.068847656,-0.921157837,415040.1776,-0.143234657,0.417669679,0.158699101,415040.1726,1.067280703,-0.19987321,-0.089709454,-0.077825315,0.222517744,0.173954144,-0.036155298,-0.003544864,0.070449933,XArbitraryCorrectedZVertical,0.01228662,-0.108506818,0.509475474,0.853528003,-0.197746679,0.089589179,-0.976150632,3.491466999,3.865729332,-25.88420486,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.3,5,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.2678,-0.150970459,0.108947754,-0.978240967,415040.2475,-0.165088291,0.665122618,0.04325453,415040.2425,1.075938393,-0.160733739,-0.096186756,-0.087455213,0.582593262,0.076052114,-0.004164653,0.01539643,0.013736286,XArbitraryCorrectedZVertical,-6.35E-05,-0.093414857,0.513463026,0.853011947,-0.159302756,0.096038505,-0.982547343,3.990149975,3.926370382,-25.80287933,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.4,6,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.3263,-0.116836548,0.11529541,-1.002212524,415040.2825,-0.220794963,0.412633109,-0.050692472,415040.3125,1.072992795,-0.136913827,-0.106538588,-0.188649699,0.218920648,-0.085638843,0.030304901,0.005021484,-0.012258812,XArbitraryCorrectedZVertical,-0.010743058,-0.085860496,0.512337641,0.854413661,-0.135712609,0.10633716,-0.985025108,5.048965454,4.214914322,-25.570858,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.4,7,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.3848,-0.132827759,0.088821411,-1.003814697,415040.3524,-0.231320308,0.194774814,-0.082543613,415040.3474,1.069395497,-0.131599186,-0.112717387,-0.163458049,0.087924697,-0.070140228,0.010391846,0.0032438,0.001465504,XArbitraryCorrectedZVertical,-0.014908916,-0.085126795,0.510857717,0.855310205,-0.130386963,0.112478852,-0.985062301,5.189192772,4.370750427,-25.51656532,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415036.7772,0,-0.4397049,100.3792,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.5,8,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.4432,-0.143829346,0.059417725,-0.989700317,415040.4223,-0.221585123,0.164552729,-0.004684767,415040.4173,1.066738063,-0.130119518,-0.121163368,-0.152727261,0.031069964,0.015089829,0.001390507,-0.047823306,-0.00937528,XArbitraryCorrectedZVertical,-0.01902979,-0.086598703,0.509820354,0.855699561,-0.128801391,0.120867126,-0.98427707,3.011722803,4.526470184,-26.27886963,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415037.7882,0,-0.5055618,100.3799,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.5,9,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.5017,-0.089111328,0.098297119,-0.973709106,415040.4922,-0.210463762,0.503422933,0.074652666,415040.4873,1.0676601,-0.117624329,-0.128203869,-0.133107126,0.36679405,0.080528259,0.018550826,-0.017806573,0.021103403,XArbitraryCorrectedZVertical,-0.025202988,-0.083034771,0.510152572,0.855695267,-0.116390184,0.127852961,-0.984940052,3.299634457,4.729343891,-26.20847321,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415037.7882,0,-0.5055618,100.3799,0.0.0.0,21.117.122.86,1,1,0.97,0
00:32.6,10,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821232,40.81031521,-73.96038003,59.4762,1.84,240.1171875,64,100,415040.5602,-0.09815979,0.112518311,-0.944747925,415040.5272,-0.303440575,0.436349624,0.143816824,415040.5222,1.071553331,-0.103434626,-0.133428237,-0.214221165,0.321978956,0.158327684,0.020621749,-0.033820037,0.012761584,XArbitraryCorrectedZVertical,-0.030914761,-0.078338983,0.511655589,0.855053121,-0.102332562,0.13303268,-0.985814571,3.635543823,4.806082726,-26.15000725,2,415036.666,unknown,2,00:31.9,null,0,0,0,0,null,415037.7882,0,-0.5055618,100.3799,0.0.0.0,21.117.122.86,1,1,0.97,0
